"","location","year","temp"
"1","Santa Barbara",2018,14.4429678082192
"2","Santa Barbara",2019,15.6956675342466
"3","Santa Barbara",2020,15.7553719945355
"4","Santa Barbara",2021,15.1944553424658
"5","Santa Barbara",2022,15.0110469863014
"6","Santa Barbara",2023,15.2469508219178
"7","Santa Barbara",2024,15.105962431694
"8","Santa Barbara",2025,15.2407316438356
"9","Santa Barbara",2026,14.995751369863
"10","Santa Barbara",2027,15.882218630137
"11","Santa Barbara",2028,16.0996844262295
"12","Santa Barbara",2029,16.1750764383562
"13","Santa Barbara",2030,16.6781708219178
"14","Santa Barbara",2031,16.0689720547945
"15","Santa Barbara",2032,15.7030398907104
"16","Santa Barbara",2033,15.5473331506849
"17","Santa Barbara",2034,16.6327471232877
"18","Santa Barbara",2035,15.4966467123288
"19","Santa Barbara",2036,16.6649760928962
"20","Santa Barbara",2037,16.0794667123288
"21","Santa Barbara",2038,16.9069652054795
"22","Santa Barbara",2039,16.4906353424658
"23","Santa Barbara",2040,16.9963659836066
"24","Santa Barbara",2041,16.7940275342466
"25","Santa Barbara",2042,16.1934975342466
"26","Santa Barbara",2043,15.7741347945205
"27","Santa Barbara",2044,16.9885224043716
"28","Santa Barbara",2045,17.0980054794521
"29","Santa Barbara",2046,15.9811434246575
"30","Santa Barbara",2047,15.95505
"31","Santa Barbara",2048,17.1995234972678
"32","Santa Barbara",2049,17.2756347945205
"33","Santa Barbara",2050,16.7065334246575
"34","Santa Barbara",2051,16.5231264383562
"35","Santa Barbara",2052,16.7434054644809
"36","Santa Barbara",2053,16.6330924657534
"37","Santa Barbara",2054,16.7528131506849
"38","Santa Barbara",2055,16.5078320547945
"39","Santa Barbara",2056,17.378049863388
"40","Santa Barbara",2057,17.6284202739726
"41","Santa Barbara",2058,17.687152739726
"42","Santa Barbara",2059,18.1902456164384
"43","Santa Barbara",2060,17.5749681693989
"44","Santa Barbara",2061,17.2199884931507
"45","Santa Barbara",2062,17.0594116438356
"46","Santa Barbara",2063,18.1448265753425
"47","Santa Barbara",2064,16.993137704918
"48","Santa Barbara",2065,18.1956605479452
"49","Santa Barbara",2066,17.5915464383562
"50","Santa Barbara",2067,18.4190435616438
"51","Santa Barbara",2068,17.9943830601093
"52","Santa Barbara",2069,18.5179538356164
"53","Santa Barbara",2070,18.306104109589
"54","Santa Barbara",2071,17.7055760273973
"55","Santa Barbara",2072,17.285862431694
"56","Santa Barbara",2073,18.5040554794521
"57","Santa Barbara",2074,18.6100883561644
"58","Santa Barbara",2075,17.4932228767123
"59","Santa Cruz",2018,12.5145824657534
"60","Santa Cruz",2019,13.8350801369863
"61","Santa Cruz",2020,14.0881581967213
"62","Santa Cruz",2021,13.3978783561644
"63","Santa Cruz",2022,13.3822263013699
"64","Santa Cruz",2023,13.4127334246575
"65","Santa Cruz",2024,13.6883275956284
"66","Santa Cruz",2025,13.7084391780822
"67","Santa Cruz",2026,13.4389306849315
"68","Santa Cruz",2027,14.3239897260274
"69","Santa Cruz",2028,14.1774946721311
"70","Santa Cruz",2029,14.1854860273973
"71","Santa Cruz",2030,15.1593645205479
"72","Santa Cruz",2031,14.7421775342466
"73","Santa Cruz",2032,14.4878433060109
"74","Santa Cruz",2033,13.8681009589041
"75","Santa Cruz",2034,15.2199842465753
"76","Santa Cruz",2035,13.9153920547945
"77","Santa Cruz",2036,15.4050613387978
"78","Santa Cruz",2037,14.374321369863
"79","Santa Cruz",2038,15.2614087671233
"80","Santa Cruz",2039,14.5715917808219
"81","Santa Cruz",2040,15.1586576502732
"82","Santa Cruz",2041,15.4051923287671
"83","Santa Cruz",2042,14.4228301369863
"84","Santa Cruz",2043,13.9274915068493
"85","Santa Cruz",2044,15.4352558743169
"86","Santa Cruz",2045,15.7917632876712
"87","Santa Cruz",2046,14.4903216438356
"88","Santa Cruz",2047,14.3365946575342
"89","Santa Cruz",2048,15.6466416666667
"90","Santa Cruz",2049,15.920697260274
"91","Santa Cruz",2050,15.2198920547945
"92","Santa Cruz",2051,15.2042417808219
"93","Santa Cruz",2052,15.2216075136612
"94","Santa Cruz",2053,15.5236204109589
"95","Santa Cruz",2054,15.5304536986301
"96","Santa Cruz",2055,15.260947260274
"97","Santa Cruz",2056,16.1243271857923
"98","Santa Cruz",2057,16.0201931506849
"99","Santa Cruz",2058,16.0074982191781
"100","Santa Cruz",2059,16.9813776712329
"101","Santa Cruz",2060,16.5404482240437
"102","Santa Cruz",2061,16.3323208219178
"103","Santa Cruz",2062,15.6901191780822
"104","Santa Cruz",2063,17.041997260274
"105","Santa Cruz",2064,15.7142930327869
"106","Santa Cruz",2065,17.2536805479452
"107","Santa Cruz",2066,16.1963367123288
"108","Santa Cruz",2067,17.0834224657534
"109","Santa Cruz",2068,16.3795968579235
"110","Santa Cruz",2069,16.9956806849315
"111","Santa Cruz",2070,17.2272053424658
"112","Santa Cruz",2071,16.2448431506849
"113","Santa Cruz",2072,15.7435722677596
"114","Santa Cruz",2073,17.2666997260274
"115","Santa Cruz",2074,17.6137795890411
"116","Santa Cruz",2075,16.3123380821918
