"","date","tmin","year","month","day","wy","yd","wyd","tmax","tmean","location"
"1",2018-01-01,4.1706,2018,1,1,2018,1,93,13.2335,8.70205,"Santa Barbara"
"2",2018-01-02,2.8302,2018,1,2,2018,2,94,12.7183,7.77425,"Santa Barbara"
"3",2018-01-03,4.0756,2018,1,3,2018,3,95,12.9791,8.52735,"Santa Barbara"
"4",2018-01-04,4.8907,2018,1,4,2018,4,96,13.2519,9.0713,"Santa Barbara"
"5",2018-01-05,6.6364,2018,1,5,2018,5,97,13.8144,10.2254,"Santa Barbara"
"6",2018-01-06,5.0838,2018,1,6,2018,6,98,14.1167,9.60025,"Santa Barbara"
"7",2018-01-07,4.8915,2018,1,7,2018,7,99,16.2426,10.56705,"Santa Barbara"
"8",2018-01-08,6.7572,2018,1,8,2018,8,100,16.9903,11.87375,"Santa Barbara"
"9",2018-01-09,6.2606,2018,1,9,2018,9,101,14.7325,10.49655,"Santa Barbara"
"10",2018-01-10,3.3009,2018,1,10,2018,10,102,14.0438,8.67235,"Santa Barbara"
"11",2018-01-11,6.2195,2018,1,11,2018,11,103,14.2824,10.25095,"Santa Barbara"
"12",2018-01-12,5.9002,2018,1,12,2018,12,104,15.1235,10.51185,"Santa Barbara"
"13",2018-01-13,8.9342,2018,1,13,2018,13,105,14.2029,11.56855,"Santa Barbara"
"14",2018-01-14,4.0426,2018,1,14,2018,14,106,13.5495,8.79605,"Santa Barbara"
"15",2018-01-15,7.3563,2018,1,15,2018,15,107,13.8845,10.6204,"Santa Barbara"
"16",2018-01-16,4.6724,2018,1,16,2018,16,108,16.4153,10.54385,"Santa Barbara"
"17",2018-01-17,2.2113,2018,1,17,2018,17,109,16.1885,9.1999,"Santa Barbara"
"18",2018-01-18,3.3418,2018,1,18,2018,18,110,16.9463,10.14405,"Santa Barbara"
"19",2018-01-19,4.6155,2018,1,19,2018,19,111,15.7237,10.1696,"Santa Barbara"
"20",2018-01-20,1.8085,2018,1,20,2018,20,112,16.4003,9.1044,"Santa Barbara"
"21",2018-01-21,0.9486,2018,1,21,2018,21,113,18.0942,9.5214,"Santa Barbara"
"22",2018-01-22,0.8379,2018,1,22,2018,22,114,18.2024,9.52015,"Santa Barbara"
"23",2018-01-23,1.2073,2018,1,23,2018,23,115,17.7617,9.4845,"Santa Barbara"
"24",2018-01-24,3.8217,2018,1,24,2018,24,116,18.5096,11.16565,"Santa Barbara"
"25",2018-01-25,-1.2462,2018,1,25,2018,25,117,14.237,6.4954,"Santa Barbara"
"26",2018-01-26,-0.8965,2018,1,26,2018,26,118,15.38,7.24175,"Santa Barbara"
"27",2018-01-27,1.037,2018,1,27,2018,27,119,18.0076,9.5223,"Santa Barbara"
"28",2018-01-28,0.3141,2018,1,28,2018,28,120,15.3665,7.8403,"Santa Barbara"
"29",2018-01-29,1.9562,2018,1,29,2018,29,121,16.971,9.4636,"Santa Barbara"
"30",2018-01-30,2.9771,2018,1,30,2018,30,122,17.5661,10.2716,"Santa Barbara"
"31",2018-01-31,5.1473,2018,1,31,2018,31,123,15.272,10.20965,"Santa Barbara"
"32",2018-02-01,4.7833,2018,2,1,2018,32,124,16.9289,10.8561,"Santa Barbara"
"33",2018-02-02,4.2019,2018,2,2,2018,33,125,19.4507,11.8263,"Santa Barbara"
"34",2018-02-03,7.3219,2018,2,3,2018,34,126,17.6483,12.4851,"Santa Barbara"
"35",2018-02-04,4.4536,2018,2,4,2018,35,127,17.1497,10.80165,"Santa Barbara"
"36",2018-02-05,1.7719,2018,2,5,2018,36,128,19.2512,10.51155,"Santa Barbara"
"37",2018-02-06,2.2335,2018,2,6,2018,37,129,22.8442,12.53885,"Santa Barbara"
"38",2018-02-07,3.6371,2018,2,7,2018,38,130,19.8475,11.7423,"Santa Barbara"
"39",2018-02-08,3.7247,2018,2,8,2018,39,131,17.7492,10.73695,"Santa Barbara"
"40",2018-02-09,10.5254,2018,2,9,2018,40,132,15.2493,12.88735,"Santa Barbara"
"41",2018-02-10,9.9371,2018,2,10,2018,41,133,16.1886,13.06285,"Santa Barbara"
"42",2018-02-11,9.0758,2018,2,11,2018,42,134,17.1183,13.09705,"Santa Barbara"
"43",2018-02-12,8.6647,2018,2,12,2018,43,135,17.9433,13.304,"Santa Barbara"
"44",2018-02-13,8.5403,2018,2,13,2018,44,136,17.1878,12.86405,"Santa Barbara"
"45",2018-02-14,2.944,2018,2,14,2018,45,137,18.6522,10.7981,"Santa Barbara"
"46",2018-02-15,5.2104,2018,2,15,2018,46,138,16.9077,11.05905,"Santa Barbara"
"47",2018-02-16,10.1994,2018,2,16,2018,47,139,18.0556,14.1275,"Santa Barbara"
"48",2018-02-17,11.2921,2018,2,17,2018,48,140,16.4245,13.8583,"Santa Barbara"
"49",2018-02-18,11.4553,2018,2,18,2018,49,141,17.0994,14.27735,"Santa Barbara"
"50",2018-02-19,10.8468,2018,2,19,2018,50,142,17.8931,14.36995,"Santa Barbara"
"51",2018-02-20,6.9192,2018,2,20,2018,51,143,19.921,13.4201,"Santa Barbara"
"52",2018-02-21,5.8111,2018,2,21,2018,52,144,21.567,13.68905,"Santa Barbara"
"53",2018-02-22,4.5586,2018,2,22,2018,53,145,20.9532,12.7559,"Santa Barbara"
"54",2018-02-23,7.7252,2018,2,23,2018,54,146,21.2548,14.49,"Santa Barbara"
"55",2018-02-24,7.4502,2018,2,24,2018,55,147,22.4043,14.92725,"Santa Barbara"
"56",2018-02-25,8.2603,2018,2,25,2018,56,148,23.0181,15.6392,"Santa Barbara"
"57",2018-02-26,10.2664,2018,2,26,2018,57,149,21.1664,15.7164,"Santa Barbara"
"58",2018-02-27,8.6757,2018,2,27,2018,58,150,17.1229,12.8993,"Santa Barbara"
"59",2018-02-28,4.7956,2018,2,28,2018,59,151,15.3515,10.07355,"Santa Barbara"
"60",2018-03-01,7.5932,2018,3,1,2018,60,152,17.414,12.5036,"Santa Barbara"
"61",2018-03-02,7.015,2018,3,2,2018,61,153,17.4576,12.2363,"Santa Barbara"
"62",2018-03-03,6.3374,2018,3,3,2018,62,154,17.8822,12.1098,"Santa Barbara"
"63",2018-03-04,5.8523,2018,3,4,2018,63,155,21.4006,13.62645,"Santa Barbara"
"64",2018-03-05,8.0197,2018,3,5,2018,64,156,21.5914,14.80555,"Santa Barbara"
"65",2018-03-06,8.6786,2018,3,6,2018,65,157,18.4292,13.5539,"Santa Barbara"
"66",2018-03-07,7.2263,2018,3,7,2018,66,158,18.5496,12.88795,"Santa Barbara"
"67",2018-03-08,8.958,2018,3,8,2018,67,159,23.8959,16.42695,"Santa Barbara"
"68",2018-03-09,6.3074,2018,3,9,2018,68,160,18.7989,12.55315,"Santa Barbara"
"69",2018-03-10,2.3603,2018,3,10,2018,69,161,17.1154,9.73785,"Santa Barbara"
"70",2018-03-11,6.1223,2018,3,11,2018,70,162,16.1162,11.11925,"Santa Barbara"
"71",2018-03-12,3.7833,2018,3,12,2018,71,163,15.8521,9.8177,"Santa Barbara"
"72",2018-03-13,6.4005,2018,3,13,2018,72,164,20.8405,13.6205,"Santa Barbara"
"73",2018-03-14,4.3128,2018,3,14,2018,73,165,21.5241,12.91845,"Santa Barbara"
"74",2018-03-15,5.8997,2018,3,15,2018,74,166,22.0124,13.95605,"Santa Barbara"
"75",2018-03-16,3.4485,2018,3,16,2018,75,167,22.5161,12.9823,"Santa Barbara"
"76",2018-03-17,0.9991,2018,3,17,2018,76,168,14.6571,7.8281,"Santa Barbara"
"77",2018-03-18,5.0192,2018,3,18,2018,77,169,16.1904,10.6048,"Santa Barbara"
